state,abbr,wiki,info
New Mexico,NM,New_Mexico,"New Mexico (Spanish: Nuevo México Spanish pronunciation: [ˈnweβo ˈmexiko] (listen), Navajo: Yootó Hahoodzo pronounced [jòːtxó xɑ̀xʷòːtsò]) is a state in the Southwestern region of the United States of America; its capital and cultural center is Santa Fe, which was founded in 1610 as capital of Nuevo México (itself established as a province of New Spain in 1598), while its largest city is Albuquerque with its accompanying metropolitan area. It is one of the Mountain States and shares the Four Corners region with Utah, Colorado, and Arizona; its other neighboring states are Oklahoma to the northeast, Texas to the east-southeast, and the Mexican states of Chihuahua to the south and Sonora to the southwest. With a population around two million, New Mexico is the 36th state by population. With a total area of 121,592 sq mi (314,920 km2), it is the fifth-largest and sixth-least densely populated of the 50 states. Due to their geographic locations, northern and eastern New Mexico exhibit a colder, alpine climate, while western and southern New Mexico exhibit a warmer, arid climate. The economy of New Mexico is dependent on oil drilling, mineral extraction, dryland farming, cattle ranching, lumber milling, and retail trade. As of 2018, its total gross domestic product (GDP) was $101 billion with a GDP per capita of $45,465. New Mexico's status as a tax haven yields low to moderate personal income taxes on residents and military personnel, and gives tax credits and exemptions to favorable industries. Because of this, its film industry has grown and contributed $1.23 billion to its overall economy. Due to its large area and economic climate, New Mexico has a large U.S. military presence marked notably with the White Sands Missile Range."
New York,NY,New_York_(state),"New York is a state in the Northeastern United States. New York was one of the original thirteen colonies that formed the United States. With an estimated 19.54 million residents in 2018, it is the fourth most populous state. In order to distinguish the state from the city with the same name, it is sometimes referred to as New York State. The state's most populous city, New York City, makes up over 40% of the state's population. Two-thirds of the state's population lives in the New York metropolitan area, and nearly 40% lives on Long Island. The state and city were both named for the 17th century Duke of York, the future King James II of England. With an estimated population of 8.62 million in 2017, New York City is the most populous city in the United States and the premier gateway for legal immigration to the United States. The New York metropolitan area is one of the most populous in the world. New York City is a global city, home to the United Nations Headquarters and has been described as the cultural, financial, and media capital of the world, as well as the world's most economically powerful city."
North Carolina,NC,North_Carolina,"North Carolina ( (listen)) is a state in the southeastern region of the United States. It borders South Carolina and Georgia to the south, Tennessee to the west, Virginia to the north, and the Atlantic Ocean to the east. North Carolina is the 28th-most extensive and the 9th-most populous of the U.S. states. The state is divided into 100 counties. The capital is Raleigh, which along with Durham and Chapel Hill is home to the largest research park in the United States (Research Triangle Park). The most populous municipality is Charlotte, which is the second-largest banking center in the United States after New York City.The state has a wide range of elevations, from sea level on the coast to 6,684 feet (2,037 m) at Mount Mitchell, the highest point in North America east of the Mississippi River. The climate of the coastal plains is strongly influenced by the Atlantic Ocean. Most of the state falls in the humid subtropical climate zone. More than 300 miles (500 km) from the coast, the western, mountainous part of the state has a subtropical highland climate.Woodland-culture Native Americans were in the area around 1000 BCE; starting around 750 CE, Mississippian-culture Indians created larger political units with stronger leadership and more stable, longer-term settlements."
North Dakota,ND,North_Dakota,"North Dakota (  (listen)) is a U.S. state in the midwestern and northern regions of the United States. It is the nineteenth largest in area, the fourth smallest by population, and the fourth most sparsely populated of the 50 states. North Dakota was admitted to the Union on November 2, 1889, along with its neighboring state, South Dakota. Its capital is Bismarck, and its largest city is Fargo. In the 21st century, North Dakota's natural resources have played a major role in its economic performance, particularly with the oil extraction from the Bakken formation, which lies beneath the northwestern part of the state. Such development has led to population growth and reduced unemployment, resulting in North Dakota having the second-lowest unemployment rate in the nation, behind only Hawaii.North Dakota contains the tallest human-made structure in the Western Hemisphere, the KVLY-TV mast.North Dakota is a Midwestern state of the United States. It borders Canada and lies at the center of the North American continent. The geographic center of North America is near the town of Rugby. Bismarck is the capital of North Dakota, and Fargo is the largest city."
Ohio,OH,Ohio,"Ohio  (listen) is a Midwestern state in the Great Lakes region of the United States. Of the fifty states, it is the 34th largest by area, the seventh most populous, and the tenth most densely populated. The state's capital and largest city is Columbus. The state takes its name from the Ohio River, whose name in turn originated from the Seneca word  ohiːyo', meaning ""good river"", ""great river"" or ""large creek"". Partitioned from the Northwest Territory, Ohio was the 17th state admitted to the Union on March 1, 1803, and the first under the Northwest Ordinance. Ohio is historically known as the ""Buckeye State"" after its Ohio buckeye trees, and Ohioans are also known as ""Buckeyes"".Ohio rose from the wilderness of Ohio Country west of Appalachia in colonial times through the Northwest Indian Wars as part of the Northwest Territory in the early frontier, to become the first non-colonial free state admitted to the union, to an industrial powerhouse in the 20th century before transmogrifying to a more information and service based economy in the 21st.The government of Ohio is composed of the executive branch, led by the Governor; the legislative branch, which comprises the bicameral Ohio General Assembly; and the judicial branch, led by the state Supreme Court. Ohio occupies 16 seats in the United States House of Representatives. Ohio is known for its status as both a swing state and a bellwether in national elections. Six Presidents of the United States have been elected who had Ohio as their home state."
Oklahoma,OK,Oklahoma,"Oklahoma ( (listen); Cherokee: ᎣᎦᎳᎰᎹ, ogalahoma; Choctaw: Oklahumma) is a state in the South Central region of the United States, bordered by Kansas on the north, Missouri on the northeast, Arkansas on the east, Texas on the south, New Mexico on the west, and Colorado on the northwest. It is the 20th-most extensive and the 28th-most populous of the fifty United States. The state's name is derived from the Choctaw words okla and humma, meaning ""red people"". It is also known informally by its nickname, ""The Sooner State"", in reference to the non-Native settlers who staked their claims on land before the official opening date of lands in the western Oklahoma Territory or before the Indian Appropriations Act of 1889, which dramatically increased European-American settlement in the eastern Indian Territory. Oklahoma Territory and Indian Territory were merged into the State of Oklahoma when it became the 46th state to enter the union on November 16, 1907. Its residents are known as Oklahomans (or colloquially, ""Okies""), and its capital and largest city is Oklahoma City. A major producer of natural gas, oil, and agricultural products, Oklahoma relies on an economic base of aviation, energy, telecommunications, and biotechnology. Both Oklahoma City and Tulsa serve as Oklahoma's primary economic anchors, with nearly two-thirds of Oklahomans living within their metropolitan statistical areas.With ancient mountain ranges, prairie, mesas, and eastern forests, most of Oklahoma lies in the Great Plains, Cross Timbers, and the U.S. Interior Highlands, a region prone to severe weather. More than 25 Native American languages are spoken in Oklahoma, ranking third behind Alaska and California. Oklahoma is on a confluence of three major American cultural regions and historically served as a route for cattle drives, a destination for Southern settlers, and a government-sanctioned territory for Native Americans."
Oregon,OR,Oregon,"Oregon ( (listen) ORR-ih-gən) is a state in the Pacific Northwest region on the West Coast of the United States. The Columbia River delineates much of Oregon's northern boundary with Washington, while the Snake River delineates much of its eastern boundary with Idaho. The parallel 42° north delineates the southern boundary with California and Nevada. Oregon is one of only three states of the contiguous United States to have a coastline on the Pacific Ocean. Oregon was inhabited by many indigenous tribes before Western traders, explorers, and settlers arrived. An autonomous government was formed in the Oregon Country in 1843 before the Oregon Territory was created in 1848. Oregon became the 33rd state on February 14, 1859. Today, at 98,000 square miles (250,000 km2), Oregon is the ninth largest and, with a population of 4 million, 27th most populous U.S. state. The capital, Salem, is the second most populous city in Oregon, with 169,798 residents. Portland, with 647,805, ranks as the 26th among U.S. cities."
Pennsylvania,PA,Pennsylvania,"Pennsylvania ( (listen) PEN-sil-VAY-nee-ə), officially the Commonwealth of Pennsylvania, is a state located in the northeastern, Great Lakes and Mid-Atlantic regions of the United States. The Appalachian Mountains run through its middle. The Commonwealth is bordered by Delaware to the southeast, Maryland to the south, West Virginia to the southwest, Ohio to the west, Lake Erie and the Canadian province of Ontario to the northwest, New York to the north, and New Jersey to the east. Pennsylvania is the 33rd-largest state by area, and the 6th-most populous state according to the most recent official U.S. Census count in 2010. It is the 9th-most densely populated of the 50 states. Pennsylvania's two most populous cities are Philadelphia (1,580,863), and Pittsburgh (302,407). The state capital and its 10th largest city is Harrisburg. Pennsylvania has 140 miles (225 km) of waterfront along Lake Erie and the Delaware Estuary.The state is one of the 13 original founding states of the United States; it came into being in 1681 as a result of a royal land grant to William Penn, the son of the state's namesake. Part of Pennsylvania (along the Delaware River), together with the present State of Delaware, had earlier been organized as the Colony of New Sweden. It was the second state to ratify the United States Constitution, on December 12, 1787."
Rhode Island,RI,Rhode_Island,"Rhode Island ( (listen)), officially the State of Rhode Island and Providence Plantations, is a state in the New England region of the United States. It is the smallest state in area, the seventh least populous, the second most densely populated, and it has the longest official name of any state. Rhode Island is bordered by Connecticut to the west, Massachusetts to the north and east, and the Atlantic Ocean to the south via Rhode Island Sound and Block Island Sound. It also shares a small maritime border with New York. Providence is the state capital and most populous city in Rhode Island. On May 4, 1776, the Colony of Rhode Island was the first of the Thirteen Colonies to renounce its allegiance to the British Crown, and it was the fourth among the newly independent states to ratify the Articles of Confederation on February 9, 1778. The state boycotted the 1787 convention which drew up the United States Constitution and initially refused to ratify it; it was the last of the states to do so on May 29, 1790.Rhode Island's official nickname is ""The Ocean State"", a reference to the large bays and inlets that amount to about 14 percent of its total area. Despite its name, most of Rhode Island is located on the mainland of the United States. Its official name is State of Rhode Island and Providence Plantations, which is derived from the merger of four Colonial settlements. The settlements of Newport and Portsmouth were situated on what is commonly called Aquidneck Island today, but it was called Rhode Island in Colonial times."
South Carolina,SC,South_Carolina,"South Carolina ( (listen)) is a state in the Southeastern United States and the easternmost of the Deep South. It is bordered to the north by North Carolina, to the southeast by the Atlantic Ocean, and to the southwest by Georgia across the Savannah River.
South Carolina became the eighth state to ratify the U.S. Constitution on May 23, 1788. South Carolina became the first state to vote in favor of secession from the Union on December 20, 1860. After the American Civil War, it was readmitted into the United States on June 25, 1868.  South Carolina is the 40th most extensive and 23rd most populous U.S. state. Its GDP as of 2013 was $183.6 billion, with an annual growth rate of 3.13%.  South Carolina is composed of 46 counties. The capital is Columbia with a 2017 population of 133,114; while its largest city is Charleston with a 2017 population of 134,875. The Greenville-Anderson-Mauldin metropolitan area is the largest in the state, with a 2017 population estimate of 895,923."
South Dakota,SD,South_Dakota,"South Dakota ( (listen)) is a U.S. state in the Midwestern region of the United States. It is named after the Lakota and Dakota Sioux Native American tribes, who compose a large portion of the population and historically dominated the territory. South Dakota is the seventeenth largest by area, but the fifth smallest by population and the 5th least densely populated of the 50 United States. As the southern part of the former Dakota Territory, South Dakota became a state on November 2, 1889, simultaneously with North Dakota. Pierre is the state capital and Sioux Falls, with a population of about 187,200, is South Dakota's largest city. South Dakota is bordered by the states of North Dakota (to the north), Minnesota (to the east), Iowa (to the southeast), Nebraska (to the south), Wyoming (to the west), and Montana (to the northwest). The state is bisected by the Missouri River, dividing South Dakota into two geographically and socially distinct halves, known to residents as ""East River"" and ""West River"".Eastern South Dakota is home to most of the state's population, and the area's fertile soil is used to grow a variety of crops. West of the Missouri, ranching is the predominant agricultural activity, and the economy is more dependent on tourism and defense spending. Most of the Native American reservations are in West River. The Black Hills, a group of low pine-covered mountains sacred to the Sioux, are in the southwest part of the state."
Tennessee,TN,Tennessee,"Tennessee ( (listen), locally ; Cherokee: ᏔᎾᏏ, translit. Tanasi) is a state located in the southeastern region of the United States. Tennessee is the 36th largest and the 16th most populous of the 50 United States. Tennessee is bordered by Kentucky to the north, Virginia to the northeast, North Carolina to the east, Georgia, Alabama, and Mississippi to the south, Arkansas to the west, and Missouri to the northwest. The Appalachian Mountains dominate the eastern part of the state, and the Mississippi River forms the state's western border. Nashville is the state's capital and largest city, with a 2017 population of 667,560 and a 2017 metro population of 1,903,045. Tennessee's second largest city is Memphis, which had a population of 652,236 in 2017.The state of Tennessee is rooted in the Watauga Association, a 1772 frontier pact generally regarded as the first constitutional government west of the Appalachians. What is now Tennessee was initially part of North Carolina, and later part of the Southwest Territory. Tennessee was admitted to the Union as the 16th state on June 1, 1796. Tennessee was the last state to leave the Union and join the Confederacy at the outbreak of the American Civil War in 1861."
Texas,TX,Texas,"Texas (, locally ; Spanish: Texas or Tejas Spanish pronunciation: [ˈtexas] (listen)) is the second largest state in the United States by both area and population. Geographically located in the South Central region of the country, Texas shares borders with the U.S. states of Louisiana to the east, Arkansas to the northeast, Oklahoma to the north, New Mexico to the west, and the Mexican states of Chihuahua, Coahuila, Nuevo León, and Tamaulipas to the southwest, while the Gulf of Mexico is to the southeast. Houston is the most populous city in Texas and the fourth largest in the U.S., while San Antonio is the second-most populous in the state and seventh largest in the U.S. Dallas–Fort Worth and Greater Houston are the fourth and fifth largest metropolitan statistical areas in the country, respectively. Other major cities include Austin, the second-most populous state capital in the U.S., and El Paso. Texas is nicknamed ""The Lone Star State"" to signify its former status as an independent republic, and as a reminder of the state's struggle for independence from Mexico. The ""Lone Star"" can be found on the Texas state flag and on the Texan state seal. The origin of Texas's name is from the word taysha, which means ""friends"" in the Caddo language.Due to its size and geologic features such as the Balcones Fault, Texas contains diverse landscapes common to both the U.S. Southern and Southwestern regions. Although Texas is popularly associated with the U.S. southwestern deserts, less than 10% of Texas's land area is desert. Most of the population centers are in areas of former prairies, grasslands, forests, and the coastline. Traveling from east to west, one can observe terrain that ranges from coastal swamps and piney woods, to rolling plains and rugged hills, and finally the desert and mountains of the Big Bend."
Utah,UT,Utah,"Utah ( YOO-tah,  (listen) YOO-taw) is a state in the western United States. It became the 45th state admitted to the U.S. on January 4, 1896. Utah is the 13th-largest by area, 30th-most-populous, and 11th-least-densely populated of the 50 United States. Utah has a population of more than 3 million according to the Census estimate for July 1, 2016. Urban development is mostly concentrated in two areas: the Wasatch Front in the north-central part of the state, which contains approximately 2.5 million people; and Washington County in Southern Utah, with over 160,000 residents. Utah is bordered by Colorado to the east, Wyoming to the northeast, Idaho to the north, Arizona to the south, and Nevada to the west. It also touches a corner of New Mexico in the southeast.Approximately 62% of Utahns are reported to be members of The Church of Jesus Christ of Latter-day Saints (LDS Church), making Utah the only state with a majority population belonging to a single church. This greatly influences Utahn culture and daily life. The LDS Church's world headquarters is located in Salt Lake City.The state is a center of transportation, education, information technology and research, government services, mining, and a major tourist destination for outdoor recreation."
Vermont,VT,Vermont,"Vermont ( (listen)) is a state in the New England region of the northeastern United States. It borders the U.S. states of Massachusetts to the south, New Hampshire to the east, New York to the west, and the Canadian province of Quebec to the north. Vermont is the second-smallest by population and the sixth-smallest by area of the 50 U.S. states. The state capital is Montpelier, the least populous state capital in the United States. The most populous city, Burlington, is the least populous city to be the most populous city in a state. As of 2015, Vermont was the leading producer of maple syrup in the United States. In crime statistics, it was ranked as the safest state in the country in 2016.For thousands of years, indigenous peoples, including the Mohawk and the Algonquian-speaking Abenaki, occupied much of the territory that is now Vermont and was later claimed by France's colony of New France. France ceded the territory to Great Britain after being defeated in 1763 in the Seven Years' War. Thereafter, the nearby colonies, especially the provinces of New Hampshire and New York, disputed the extent of the area called the New Hampshire Grants to the west of the Connecticut River, encompassing present-day Vermont. The provincial government of New York sold land grants to settlers in the region, which conflicted with earlier grants from the government of New Hampshire."
Virginia,VA,Virginia,"Virginia ( (listen)), officially the Commonwealth of Virginia, is a state in the Southeastern and Mid-Atlantic regions of the United States located between the Atlantic Coast and the Appalachian Mountains. The geography and climate of the Commonwealth are shaped by the Blue Ridge Mountains and the Chesapeake Bay, which provide habitat for much of its flora and fauna. The capital of the Commonwealth is Richmond; Virginia Beach is the most populous city, and Fairfax County is the most populous political subdivision. The Commonwealth's estimated population as of 2018 is over 8.5 million.The area's history begins with several indigenous groups, including the Powhatan. In 1607 the London Company established the Colony of Virginia as the first permanent New World English colony. Virginia's state nickname, the Old Dominion, is a reference to this status. Slave labor and the land acquired from displaced Native American tribes each played a significant role in the colony's early politics and plantation economy. Virginia was one of the 13 Colonies in the American Revolution. In the American Civil War, Virginia's Secession Convention resolved to join the Confederacy, and Virginia's First Wheeling Convention resolved to remain in the Union; that led to the creation of West Virginia. Although the Commonwealth was under one-party rule for nearly a century following Reconstruction, both major national parties are competitive in modern Virginia.The Virginia General Assembly is the oldest continuous law-making body in the New World."
Washington,WA,Washington_(state),"Washington ( (listen)), officially the State of Washington, is a state in the Pacific Northwest region of the United States. Named for George Washington, the first president of the United States, the state was made out of the western part of the Washington Territory, which was ceded by Britain in 1846 in accordance with the Oregon Treaty in the settlement of the Oregon boundary dispute. It was admitted to the Union as the 42nd state in 1889. Olympia is the state capital; the state's largest city is Seattle. Washington is sometimes referred to as Washington State to distinguish it from Washington, D.C., the capital of the United States. Washington is the 18th largest state, with an area of 71,362 square miles (184,827 km2), and the 13th most populous state, with more than 7.4 million people. Approximately 60 percent of Washington's residents live in the Seattle metropolitan area, the center of transportation, business, and industry along Puget Sound, an inlet of the Pacific Ocean consisting of numerous islands, deep fjords, and bays carved out by glaciers. The remainder of the state consists of: deep temperate rainforests in the west; mountain ranges in the west, central, northeast, and far southeast; and a semi-arid basin region in the east, central, and south, given over to intensive agriculture. Washington is the second most populous state on the West Coast and in the Western United States, after California. Mount Rainier, an active stratovolcano, is the state's highest elevation, at almost 14,411 feet (4,392 meters), and is the 2nd topographically prominent mountain in the continental United States, the first being Denali in Alaska."
West Virginia,WV,West_Virginia,"West Virginia ( (listen)) is a state located in the Appalachian region in the Southern United States that is also considered to be a part of the Middle Atlantic States. It is bordered by Pennsylvania to the north, Maryland to the east and northeast, Virginia to the southeast, Kentucky to the southwest, and Ohio to the northwest. West Virginia is the 41st largest state by area, and is ranked 38th in population. The capital and largest city is Charleston. West Virginia became a state following the Wheeling Conventions of 1861, after the American Civil War had begun.  Delegates from some Unionist counties of northwestern Virginia decided to break away from Virginia, although they included many secessionist counties in the new state. West Virginia was admitted to the Union on June 20, 1863, and was a key border state during the war. West Virginia was the only state to form by separating from a Confederate state, the first to separate from any state since Maine separated from Massachusetts, and was one of two states admitted to the Union during the American Civil War (the other being Nevada). While a portion of its residents held slaves, most of the residents were yeomen farmers, and the delegates provided for gradual abolition of slavery in the new state Constitution.The Census Bureau and the Association of American Geographers classify West Virginia as part of the Southern United States."
Wisconsin,WI,Wisconsin,"Wisconsin ( (listen)) is a U.S. state located in the north-central United States, in the Midwest and Great Lakes regions. It is bordered by Minnesota to the west, Iowa to the southwest, Illinois to the south, Lake Michigan to the east, Michigan to the northeast, and Lake Superior to the north. Wisconsin is the 23rd largest state by total area and the 20th most populous. The state capital is Madison, and its largest city is Milwaukee, which is located on the western shore of Lake Michigan. The state is divided into 72 counties. Wisconsin's geography is diverse, having been greatly impacted by glaciers during the Ice Age with the exception of the Driftless Area. The Northern Highland and Western Upland along with a part of the Central Plain occupies the western part of the state, with lowlands stretching to the shore of Lake Michigan. Wisconsin is second to Michigan in the length of its Great Lakes coastline. During the 19th and early 20th centuries, a large number of European settlers entered the state, many of whom emigrated from Germany and Scandinavia. Like neighboring Minnesota, the state remains a center of German American and Scandinavian American culture."
Wyoming,WY,Wyoming,"Wyoming ( (listen)) is a state in the mountain region of the western United States. The state is the 10th largest by area, the least populous, and the second most sparsely populated state in the country. Wyoming is bordered on the north by Montana, on the east by South Dakota and Nebraska, on the south by Colorado, on the southwest by Utah, and on the west by Idaho and Montana. The state population was estimated at 577,737 in 2018, which is less than 31 of the most populous U.S. cities including Denver in neighboring Colorado. Cheyenne is the state capital and the most populous city, with an estimated population of 63,624 in 2017.The western two-thirds of the state is covered mostly by the mountain ranges and rangelands of the Rocky Mountains, while the eastern third of the state is high elevation prairie called the High Plains. Almost half of the land in Wyoming is owned by the U.S. government, leading Wyoming to rank sixth by area and fifth by proportion of a state's land owned by the federal government. Federal lands include two national parks—Grand Teton and Yellowstone—two national recreation areas, two national monuments, several national forests, historic sites, fish hatcheries, and wildlife refuges. Original inhabitants of the region include the Crow, Arapaho, Lakota, and Shoshone. Southwestern Wyoming was in the Spanish Empire and then Mexican territory until it was ceded to the United States in 1848 at the end of the Mexican–American War. The region acquired the name Wyoming when a bill was introduced to the U.S. Congress in 1865 to provide a ""temporary government for the territory of Wyoming""."
